longitude,latitude,deff
-154.02,61.606,-29
-154.03,61.607,-15
-154.02,61.607,-18
-153.92,61.596,-22
-153.78,61.58,-15
-154.39,61.647,-9
-153.38,61.534,5.5
-154.25,61.632,-25
-154.05,61.61,2.6
-154.35,61.643,-26
-154.13,61.619,-2
-154.03,61.608,-18
-154.02,61.607,-19
-154.33,61.642,-32
-154.02,61.607,-18
-153.94,61.598,-26
-153.47,61.545,-5
-154.02,61.608,-19
-153.99,61.604,1.3
-153.48,61.546,1.5
-154.25,61.633,-24
-154.37,61.646,2.6
-154.02,61.607,-18
-154.16,61.623,-18
-153.45,61.543,-3
-153.89,61.593,-14
-153.89,61.593,-15
-153.73,61.575,-9
-154.11,61.617,-5
-153.58,61.558,-0
-153.53,61.552,-6
-154.04,61.61,-12
-153.78,61.58,1.8
-153.38,61.535,-8
-154.46,61.656,-12
-154.26,61.634,-29
-154.46,61.656,-3
-154.02,61.608,-10
-154.33,61.643,-26
-153.48,61.547,-9
-153.45,61.543,-21
-154.36,61.646,-14
-154.02,61.608,-20
-154.05,61.611,-8
-154.36,61.646,-5
-153.75,61.578,3.8
-153.55,61.555,-1
-154.02,61.608,-22
-154.26,61.635,-25
-153.75,61.578,-4
-153.58,61.558,-3
-153.71,61.573,-4
-154.03,61.61,-18
-153.74,61.577,10
-153.37,61.534,-0
-153.36,61.534,9.3
-154.04,61.612,-19
-153.55,61.555,-14
-154.37,61.648,0.7
-154.04,61.612,-16
-153.95,61.601,-27
-154.05,61.612,-12
-153.72,61.575,-11
-154.33,61.644,-13
-153.48,61.548,-10
-153.33,61.53,18
-153.81,61.586,-23
-154.04,61.612,-15
-154.45,61.657,-17
-154.39,61.651,2.1
-154.05,61.614,-9
-154.33,61.644,-18
-153.95,61.602,-37
-153.82,61.587,-30
-153.78,61.583,-3
-153.82,61.587,-16
-154.13,61.623,-6
-153.95,61.602,-27
-154.27,61.638,-33
-154.08,61.617,-10
-154.27,61.639,-10
-154.23,61.634,-13
-153.83,61.59,-41
-154.06,61.615,-25
-153.66,61.57,5.7
-154.13,61.623,0.6
-154.13,61.623,-1
-153.59,61.562,-6
-153.55,61.557,-19
-154.23,61.635,-15
-153.9,61.598,-18
-154.4,61.654,-1
-153.49,61.551,3.6
-154.06,61.616,-21
-153.52,61.554,-1
-153.58,61.561,3.6
-153.57,61.561,5.4
-153.76,61.582,-4
-154.05,61.615,-21
-154.2,61.631,-16
-154.35,61.648,-1
-153.46,61.548,-3
-153.33,61.533,10
-153.46,61.548,-15
-154.35,61.648,2.3
-154.27,61.639,-40
-153.35,61.535,15
-154.02,61.612,-18
-153.91,61.599,-42
-154.01,61.611,-14
-153.98,61.608,-25
-154.27,61.64,-39
-154.07,61.617,-9
-153.95,61.604,-43
-153.52,61.556,-3
-153.6,61.564,2.6
-153.47,61.55,-13
-153.59,61.564,-2
-154.07,61.618,-18
-153.92,61.602,-28
-153.74,61.581,13
-153.51,61.555,-23
-154.05,61.616,-17
-154,61.61,-11
-154.06,61.617,-24
-153.92,61.601,-17
-153.33,61.534,18
-153.46,61.549,-22
-153.46,61.548,-9
-153.98,61.608,-30
-154.31,61.645,-20
-153.49,61.553,-8
-154.04,61.615,-0
